nom_client;prenom_client;raison_sociale;type_client;adresse_client;quartier_client;ville_client;tephone_client;email_client;date_inscription
ADJANOHOUN;Marcel;;Particulier;Lot 125 Rue 3.890;Akpakpa;Cotonou;2,2902E+12;marcel.adj@gmail.com;15/01/2024
;;ETISALAT BENIN SA;Entreprise;Boulevard de la Marina;Centre;Cotonou;2,29012E+12;contact@moov.bj;20/02/2024
KEKE;Sylvie;;Particulier;Villa 78 Avenue Steinmetz;Cadjehoun;Cotonou;2,2902E+12;s.keke@yahoo.fr;12/03/2024
;;Mairie de Cotonou;Collectivité;Place du Souvenir;Centre;Cotonou;2,29012E+12;mairie@cotonou.bj;05/04/2024
SANTOS;Ricardo;;Particulier;Villa 234 Boulevard Lagunaire;Cocotiers;Cotonou;2,2902E+12;ricardo.santos@hotmail.com;18/05/2024
;;SOBEMAP Bénin;Entreprise;Zone Industrielle PK14;Godomey;Abomey-Calavi;2,29012E+12;info@sobemap.bj;22/07/2024
DOSSOU;Angèle;;Particulier;Parcelle 456 Rue 1.234;Fidjrossè;Cotonou;2,2902E+12;angele.dossou@gmail.com;10/09/2024
;;Hôtel Golden Tulip;Entreprise;Route de l'Aéroport;Cadjehoun;Cotonou;2,29012E+12;reservation@goldentulip-cotonou.com;08/11/2024
AZONHIHO;Benoît;;Particulier;Lot 89 Rue 2.567;Vossa;Cotonou;2,2902E+12;b.azonhiho@gmail.com;20/01/2025
;;Université d'Abomey-Calavi;Collectivité;Campus Universitaire;Abomey-Calavi;Abomey-Calavi;2,29012E+12;rectorat@uac.bj;14/02/2025
TCHIBOZO;Mathilde;;Particulier;Parcelle 567 Carré 123;Haie Vive;Cotonou;2,2902E+12;mtchibozo@yahoo.fr;25/03/2025
;;CFAO Motors Bénin;Entreprise;Boulevard Lagunaire;Akpakpa;Cotonou;2,29012E+12;cfao.benin@cfao.com;30/04/2025
GBAGUIDI;Fiacre;;Particulier;Villa 45 Rue des Cocotiers;Cocotiers;Cotonou;2,29903E+13;fiacre.gbaguidi@gmail.com;15/06/2025
;;Ministère de l'Éducation;Collectivité;Quartier Administratif;Marina;Cotonou;2,29012E+12;sec.memp@gouv.bj;10/08/2025
HOUNGBO;Rosine;;Particulier;Lot 890 Rue 4.123;Agla;Cotonou;2,2902E+12;rosine.h@gmail.com;05/10/2025
;;Groupe PETROLIN;Entreprise;Zone Portuaire;Port;Cotonou;2,29012E+12;contact@petrolin.bj;18/12/2025
AHOUANDJINOU;Stéphane;;Particulier;Carré 345 Rue des Palmiers;Zogbo;Cotonou;2,2902E+12;s.ahouandjinou@gmail.com;08/01/2026
LAWANI;Céline;;Particulier;Villa 156 Avenue Pape Jean Paul II;Jéricho;Cotonou;2,2902E+12;celine.lawani@yahoo.fr;15/01/2026
;;Préfecture du Littoral;Collectivité;Avenue Clozel;Centre;Cotonou;2,29012E+12;prefet.littoral@gouv.bj;20/01/2026
;;BÉNIN CONTROL SA;Entreprise;Boulevard de France;Haie Vive;Cotonou;2,29012E+12;info@benincontrol.bj;24/01/2026
